complaint_id,date_received,product,issue,regulation,company,company_size,state,submitted_via,consumer_consent,narrative,disputed_amount,company_response,timely_response,consumer_disputed
C3104707,2020-07-02,Credit reporting,Problem with a company's investigation into an existing problem,FCRA,HARBOR CREDIT UNION,mid,NJ,Web,Consent provided,I am asking for $59.00 to be returned to me. the furnisher verified the item without looking at my documents. the response I received was a form letter.,,Closed with explanation,Yes,No
C3104974,2020-07-02,Credit reporting,Incorrect information on your report,FCRA,CROWN SAVINGS & TRUST,large,NY,Web,Consent provided,I am asking the regulator to look at this. the balance being reported is wrong. this is causing me real financial hardship. there is a hard inquiry I never authorised. this has been going on since 2020-06-15. I have kept records of every call.,,Closed with explanation,Yes,Yes
C3107348,2020-07-02,Credit card,"Other features, terms, or problems",REG_Z,PACIFIC UNION BANCORP,large,OH,Web,Consent provided,the terms of my account changed without notice. I want an explanation of how the amount was calculated. the online portal does not show the case at all. I have kept records of every call. I am a customer of 2 years and this is how I am treated. a benefit I was promised at application does not exist.,105.11,Closed with explanation,Yes,Yes
C3107631,2020-07-02,Debt collection,Written notification about debt,FDCPA,ATLAS FINANCIAL GROUP,large,PA,Phone,Consent provided,I am a customer of 3 years and this is how I am treated. I have disputed this 3 times now. I want an explanation of how the amount was calculated. they could not produce validation of the debt. I have been given a different answer every time I call.,,Closed with non-monetary relief,Yes,No
C3101650,2020-07-03,Checking or savings account,Unauthorized transactions or other transaction problem,REG_E,ATLAS FINANCIAL GROUP,large,NC,Web,Consent provided,my account has been affected since 2020-06-26. the online portal does not show the case at all. provisional credit was never applied while the investigation ran.,341.98,Closed with explanation,Yes,Yes
C3101736,2020-07-03,Credit reporting,Improper use of your report,FCRA,SUMMIT CARD SERVICES,mid,OH,Web,Consent provided,I want an explanation of how the amount was calculated. a company pulled my credit report with no permissible purpose. there is a hard inquiry I never authorised. I want this resolved before it affects my credit. the online portal does not show the case at all. I received a form letter saying the item was verified. this has been going on since 2020-05-20.,,Closed with explanation,Yes,No
C3102195,2020-07-03,Checking or savings account,Confusing or missing disclosures,REG_E,MERIDIAN NATIONAL BANK,large,MI,Web,Consent provided,I am a customer of 7 years and this is how I am treated. I have called 7 times about this. I was not given a change in terms notice. the fee schedule was never given to me before the account opened. I have sent documents twice and they say they never arrived.,99.65,Untimely response,No,No
C3102877,2020-07-03,Checking or savings account,Closing an account,REG_E,PACIFIC UNION BANCORP,large,NY,Web,Consent provided,the terms on the website differ from the agreement. I am a customer of 4 years and this is how I am treated. the bank closed my account and would not say why. I need this corrected in writing. the amount involved is $266.54.,266.54,Closed with monetary relief,Yes,No
C3103518,2020-07-03,Credit reporting,Incorrect information on your report,FCRA,CEDAR POINT LENDING,small,NY,Web,Consent provided,an account on my credit report is not mine. the response I received was a form letter. this has been going on since 2020-05-15. an account on my credit report is not mine. the fee involved was $204.92.,,Closed with explanation,Yes,No
C3104996,2020-07-03,Debt collection,Written notification about debt,FDCPA,ATLAS FINANCIAL GROUP,large,NY,Web,Consent provided,the notice did not state the amount of the debt. the amount involved is $56.90. this has been going on since 2020-04-16. I never received a validation notice after the first contact. I received a letter that did not address what I asked.,,Closed with non-monetary relief,Yes,No
C3105301,2020-07-03,Debt collection,Written notification about debt,FDCPA,MERIDIAN NATIONAL BANK,large,PA,Postal mail,Consent provided,they could not produce validation of the debt. the online portal does not show the case at all. I am asking for $30.31 to be returned to me.,,Closed with monetary relief,Yes,No
C3106832,2020-07-03,Credit reporting,Incorrect information on your report,FCRA,HARBOR CREDIT UNION,mid,AZ,Web,Consent provided,I filed this complaint because the company stopped responding. the company acknowledged the problem on the phone but not in writing. I am asking for $122.98 to be returned to me. an account on my credit report is not mine. I am attaching the statement showing the entry.,,Closed with non-monetary relief,Yes,Yes
C3107289,2020-07-03,Credit reporting,Incorrect information on your report,FCRA,SUMMIT CARD SERVICES,mid,OH,Web,Consent provided,I am attaching the statement showing the entry. the amount involved is $82.87. I received a letter that did not address what I asked. the fee involved was $82.87.,,Closed with monetary relief,Yes,No
C3107691,2020-07-03,Checking or savings account,Problem with a lender or other company charging your account,REG_E,MERIDIAN NATIONAL BANK,large,GA,Web,Consent provided,I have called 5 times about this. I need this corrected in writing. a company debited my account after I revoked authorisation. the fee involved was $89.62. I want this resolved before it affects my credit.,89.62,Closed without relief,Yes,Yes
C3108973,2020-07-03,Debt collection,Communication tactics,FDCPA,SUMMIT CARD SERVICES,mid,NJ,Web,Consent provided,the caller threatened action they could not take. the company says it is following its policy but will not show me the policy. the fee involved was $121.14. this has been going on since 2020-04-27. they could not produce validation of the debt.,,Closed without relief,Yes,Yes
C3100987,2020-07-04,Checking or savings account,Closing an account,REG_E,CROWN SAVINGS & TRUST,large,AZ,Web,Consent provided,the bank changed my account terms without notice. I want this resolved before it affects my credit. I am a customer of 6 years and this is how I am treated. the account was closed while a dispute was still open. the online portal does not show the case at all.,106.05,Closed with monetary relief,Yes,No
C3103389,2020-07-04,Credit reporting,Incorrect information on your report,FCRA,ATLAS FINANCIAL GROUP,large,AZ,Fax,Consent provided,the response I received was a form letter. the account was paid but reports as charged off. the balance being reported is wrong. the fee involved was $411.81.,,Closed with non-monetary relief,Yes,No
C3103593,2020-07-04,Checking or savings account,Closing an account,REG_E,CEDAR POINT LENDING,small,AZ,Web,Consent provided,the fee schedule was never given to me before the account opened. the response I received was a form letter. the bank closed my account and would not say why. the account was closed while a dispute was still open. nobody would escalate my case. I am a customer of 3 years and this is how I am treated.,47.96,Closed with monetary relief,Yes,No
C3104827,2020-07-04,"Money transfer, virtual currency, or money service",Fraud or scam,REG_E,PACIFIC UNION BANCORP,large,GA,Phone,Consent provided,I was tricked into sending a payment by someone pretending to be the bank. this has been going on since 2020-05-02. a company debited my account after I revoked authorisation. the company says it is following its policy but will not show me the policy.,26.54,Untimely response,No,Yes
C3107481,2020-07-04,Checking or savings account,Problem caused by your funds being low,REG_E,MERIDIAN NATIONAL BANK,large,WA,Phone,Consent provided,I am asking the regulator to look at this. the response I received was a form letter. I was charged several overdraft fees in one day.,353.89,Closed with monetary relief,Yes,Yes
C3108991,2020-07-04,Credit card,Getting a credit card,REG_Z,ATLAS FINANCIAL GROUP,large,PA,Web,Consent provided,an application was submitted in my name that I did not make. there are charges on my account I did not authorize. this has been going on since 2020-05-20. I have kept records of every call. I contacted the company on 2020-05-20 and got nowhere.,38.25,Closed with explanation,Yes,No
C3100911,2020-07-05,Checking or savings account,Managing an account,REG_E,CROWN SAVINGS & TRUST,large,WA,Web,Consent provided,I am asking the regulator to look at this. I want an explanation of how the amount was calculated. I was told someone would call back and nobody did.,329.52,Untimely response,No,Yes
C3101269,2020-07-05,Credit card,Problem with a purchase shown on your statement,REG_Z,PACIFIC UNION BANCORP,large,TX,Web,Consent provided,my credit limit was cut with no explanation. the amount involved is $111.84. the item went back but the credit never appeared. I received a letter that did not address what I asked. the company acknowledged the problem on the phone but not in writing. I contacted the company on 2020-05-21 and got nowhere.,111.84,Closed with explanation,Yes,Yes
C3105312,2020-07-05,"Money transfer, virtual currency, or money service",Fraud or scam,REG_E,MERIDIAN NATIONAL BANK,large,NC,Web,Consent provided,the transfer could not be recalled once it left my account. the online portal does not show the case at all. I contacted the company on 2020-05-20 and got nowhere. the response I received was a form letter. I reported the scam the same day and the funds were already gone.,215.8,Closed with monetary relief,Yes,No
C3106396,2020-07-05,Credit reporting,Incorrect information on your report,FCRA,MERIDIAN NATIONAL BANK,large,WA,Phone,Consent provided,the balance being reported is wrong. there is a hard inquiry I never authorised. I have been given a different answer every time I call. the response I received was a form letter. the account was paid but reports as charged off. the company closed my case without telling me.,,Closed with monetary relief,Yes,No
C3106658,2020-07-05,Checking or savings account,Problem caused by your funds being low,REG_E,HARBOR CREDIT UNION,mid,NY,Referral,Consent provided,the transfer was promised in minutes and took days. I have disputed this 3 times now. the bank reordered my transactions largest to smallest. nobody would escalate my case. I am asking the regulator to look at this.,284.01,Closed with monetary relief,Yes,No
C3107017,2020-07-05,Credit card,"Other features, terms, or problems",REG_Z,MERIDIAN NATIONAL BANK,large,FL,Web,Consent provided,I want an explanation of how the amount was calculated. a benefit I was promised at application does not exist. nobody would escalate my case.,26.05,Closed with monetary relief,Yes,No
C3107834,2020-07-05,"Money transfer, virtual currency, or money service",Fraud or scam,REG_E,PACIFIC UNION BANCORP,large,CA,Web,Consent provided,I have disputed this 5 times now. my account has been affected since 2020-04-19. the transfer could not be recalled once it left my account. I filed this complaint because the company stopped responding. I reported the scam the same day and the funds were already gone. the fee involved was $26.60.,26.6,Closed with monetary relief,Yes,No
C3102881,2020-07-06,Checking or savings account,Problem caused by your funds being low,REG_E,CROWN SAVINGS & TRUST,large,FL,Web,Consent provided,I have called 8 times about this. an overdraft fee hit a transaction authorized on a positive balance. I was charged several overdraft fees in one day. I was transferred between 8 departments.,38.55,Closed with monetary relief,Yes,No
C3104289,2020-07-06,Credit card,"Other features, terms, or problems",REG_Z,HARBOR CREDIT UNION,mid,MA,Referral,Consent provided,a benefit I was promised at application does not exist. I am asking for $42.08 to be returned to me. this is causing me real financial hardship. the company acknowledged the problem on the phone but not in writing. I was billed twice for the same purchase.,42.08,Closed with explanation,Yes,No
C3104578,2020-07-06,"Money transfer, virtual currency, or money service",Fraud or scam,REG_E,PACIFIC UNION BANCORP,large,GA,Web,Consent provided,I am asking for $235.76 to be returned to me. the representative put me on hold for over an hour. I filed this complaint because the company stopped responding. there are charges on my account I did not authorize.,235.76,Closed with monetary relief,Yes,No
C3105724,2020-07-06,Checking or savings account,Closing an account,REG_E,HARBOR CREDIT UNION,mid,MI,Phone,Consent provided,the representative put me on hold for over an hour. I received a letter that did not address what I asked. the account was closed while a dispute was still open. I want this resolved before it affects my credit.,774.17,Closed with explanation,Yes,No
C3107045,2020-07-06,Debt collection,Attempts to collect debt not owed,FDCPA,CROWN SAVINGS & TRUST,large,NY,Web,Consent provided,"I filed this complaint because the company stopped responding. the fee involved was $1,097.71. I want this resolved before it affects my credit. the collector is chasing a debt that was already paid.",,Closed without relief,Yes,Yes
C3102653,2020-07-07,Credit card,Getting a credit card,REG_Z,PACIFIC UNION BANCORP,large,IL,Web,Consent provided,my application was declined and I got no adverse action notice. I am a customer of 9 years and this is how I am treated. nobody would escalate my case. I want an explanation of how the amount was calculated. an application was submitted in my name that I did not make. the company says it is following its policy but will not show me the policy.,35.28,Closed with monetary relief,Yes,No
C3103228,2020-07-07,Credit reporting,Problem with a company's investigation into an existing problem,FCRA,SUMMIT CARD SERVICES,mid,GA,Web,Consent provided,the fee involved was $186.85. I am attaching the statement showing the entry. the company says it is following its policy but will not show me the policy. the representative put me on hold for over an hour. the same error came back after it was deleted.,,Closed with explanation,Yes,No
C3105413,2020-07-07,"Money transfer, virtual currency, or money service",Fraud or scam,REG_E,MERIDIAN NATIONAL BANK,large,GA,Web,Consent provided,the response I received was a form letter. I have been given a different answer every time I call. nobody would escalate my case. I want this resolved before it affects my credit. I contacted the company on 2020-06-18 and got nowhere.,191.2,Closed with explanation,Yes,Yes
C3106387,2020-07-07,Checking or savings account,Unauthorized transactions or other transaction problem,REG_E,CEDAR POINT LENDING,small,MI,Referral,Consent provided,someone used my debit card without my permission. there are charges on my account I did not authorize. I want an explanation of how the amount was calculated. I have called 3 times about this. nobody would escalate my case. I need this corrected in writing.,65.51,Closed with explanation,Yes,No
C3106401,2020-07-07,Credit card,"Other features, terms, or problems",REG_Z,ATLAS FINANCIAL GROUP,large,NY,Web,Consent provided,a benefit I was promised at application does not exist. I am a customer of 9 years and this is how I am treated. a fee appeared that no disclosure mentioned. the company says it is following its policy but will not show me the policy.,155.33,Closed without relief,Yes,Yes
C3108081,2020-07-07,Debt collection,Written notification about debt,FDCPA,CROWN SAVINGS & TRUST,large,MA,Referral,Consent provided,I never received a validation notice after the first contact. this has been going on since 2020-05-06. they could not produce validation of the debt. I need this corrected in writing. I am asking for $98.22 to be returned to me. I have sent documents twice and they say they never arrived.,,Closed without relief,Yes,Yes
C3108745,2020-07-07,Checking or savings account,Closing an account,REG_E,CROWN SAVINGS & TRUST,large,PA,Web,Consent provided,the bank closed my account and would not say why. the amount involved is $3.92. my remaining balance was never returned. I have called 2 times about this. I want this resolved before it affects my credit.,3.92,Closed with monetary relief,Yes,No
C3105259,2020-07-08,Checking or savings account,Managing an account,REG_E,PACIFIC UNION BANCORP,large,GA,Web,Consent provided,I am a customer of 6 years and this is how I am treated. I want this resolved before it affects my credit. I have disputed this 6 times now. this has been going on since 2020-06-10. the bank changed my account terms without notice. the bank closed my account and would not say why.,123.5,Closed with explanation,Yes,No
C3107800,2020-07-08,"Payday loan, title loan, or personal loan",Struggling to repay your loan,REG_Z,MERIDIAN NATIONAL BANK,large,IL,Web,Consent provided,I was transferred between 7 departments. the fees now exceed what I originally borrowed. the lender would not discuss a repayment plan. I want an explanation of how the amount was calculated. I filed this complaint because the company stopped responding. I contacted the company on 2020-05-15 and got nowhere. a company pulled my credit report with no permissible purpose.,59.11,Closed with explanation,Yes,No
C3100016,2020-07-09,Checking or savings account,Confusing or missing disclosures,REG_E,SUMMIT CARD SERVICES,mid,NJ,Phone,Consent provided,I was told someone would call back and nobody did. I was transferred between 7 departments. the terms on the website differ from the agreement. the fee schedule was never given to me before the account opened.,138.48,Closed with explanation,Yes,No
C3100711,2020-07-09,Credit reporting,Incorrect information on your report,FCRA,ATLAS FINANCIAL GROUP,large,IL,Web,Consent provided,I need this corrected in writing. my account has been affected since 2020-04-24. I received a letter that did not address what I asked. I contacted the company on 2020-04-24 and got nowhere. the balance being reported is wrong.,,Closed with explanation,Yes,Yes
C3101060,2020-07-09,Debt collection,Attempts to collect debt not owed,FDCPA,SUMMIT CARD SERVICES,mid,CA,Web,Consent provided,I want an explanation of how the amount was calculated. the transfer was promised in minutes and took days. the collector is chasing a debt that was already paid. I asked for a supervisor and was refused.,,Closed with monetary relief,Yes,Yes
C3101294,2020-07-09,Checking or savings account,Managing an account,REG_E,CROWN SAVINGS & TRUST,large,VA,Web,Consent provided,the bank changed my account terms without notice. I was told someone would call back and nobody did. my account has been affected since 2020-05-09. the company acknowledged the problem on the phone but not in writing. the representative put me on hold for over an hour. my direct deposit went to the wrong account.,39.5,Closed with monetary relief,Yes,No
C3103311,2020-07-09,Credit reporting,Improper use of your report,FCRA,MERIDIAN NATIONAL BANK,large,WA,Phone,Consent provided,there is a hard inquiry I never authorised. I have called 4 times about this. my report was accessed by a company I have no relationship with. I filed this complaint because the company stopped responding.,,Closed with non-monetary relief,Yes,No
C3103506,2020-07-09,Credit card,"Other features, terms, or problems",REG_Z,BLUE RIDGE COLLECTIONS,mid,VA,Web,Consent provided,I want this resolved before it affects my credit. the fee involved was $16.02. I am attaching the statement showing the entry. I have kept records of every call. the terms of my account changed without notice.,16.02,Closed without relief,Yes,No
C3104778,2020-07-09,Credit reporting,Problem with a company's investigation into an existing problem,FCRA,CEDAR POINT LENDING,small,AZ,Phone,Consent provided,my report was accessed by a company I have no relationship with. I have been given a different answer every time I call. the same error came back after it was deleted. I contacted the company on 2020-04-14 and got nowhere. the furnisher verified the item without looking at my documents.,,Closed with non-monetary relief,Yes,No
C3102040,2020-07-10,Checking or savings account,Closing an account,REG_E,MERIDIAN NATIONAL BANK,large,NJ,Web,Consent provided,the bank closed my account and would not say why. I filed this complaint because the company stopped responding. the fee schedule was never given to me before the account opened. nobody would escalate my case. I have been given a different answer every time I call. I received a letter that did not address what I asked. the account was closed while a dispute was still open.,29.59,Closed with monetary relief,Yes,No
C3103437,2020-07-10,"Money transfer, virtual currency, or money service",Fraud or scam,REG_E,MERIDIAN NATIONAL BANK,large,MI,Phone,Consent provided,I received a letter that did not address what I asked. I have called 6 times about this. I was transferred between 6 departments.,228.89,Closed with monetary relief,Yes,No
C3107480,2020-07-10,Credit card,Problem with a purchase shown on your statement,REG_Z,NORTHSTAR RECOVERY LLC,small,NC,Web,Consent provided,the item went back but the credit never appeared. the representative put me on hold for over an hour. I have called 8 times about this. I disputed the billing error in writing. I am asking for $374.24 to be returned to me.,374.24,Closed with non-monetary relief,Yes,No
C3101419,2020-07-11,Credit reporting,Incorrect information on your report,FCRA,SUMMIT CARD SERVICES,mid,NY,Phone,Consent provided,the amount involved is $90.92. the response I received was a form letter. the balance being reported is wrong. I have sent documents twice and they say they never arrived.,,Closed with non-monetary relief,Yes,No
C3101652,2020-07-11,Credit card,Problem with a purchase shown on your statement,REG_Z,BLUE RIDGE COLLECTIONS,mid,VA,Web,Consent provided,I want this resolved before it affects my credit. the merchant billed me for goods that never arrived. I was billed twice for the same purchase. nobody would escalate my case.,106.86,Closed with monetary relief,Yes,No
C3103082,2020-07-11,Credit card,Charged fees or interest you didn't expect,REG_Z,NORTHSTAR RECOVERY LLC,small,GA,Web,Consent provided,I asked for a supervisor and was refused. the fee involved was $130.25. the fees now exceed what I originally borrowed. I was billed twice for the same purchase. a fee appeared that no disclosure mentioned. this is causing me real financial hardship.,130.25,Closed with monetary relief,Yes,No
C3104145,2020-07-11,Prepaid card,Trouble using your card,REG_E,HARBOR CREDIT UNION,mid,PA,Web,Consent provided,I asked for a supervisor and was refused. I was billed twice for the same purchase. I have been given a different answer every time I call. I contacted the company on 2020-04-18 and got nowhere. the card was locked and nobody could tell me why.,29.2,Closed with monetary relief,Yes,No
C3104223,2020-07-11,Checking or savings account,Managing an account,REG_E,BLUE RIDGE COLLECTIONS,mid,VA,Web,Consent provided,I have been given a different answer every time I call. the representative put me on hold for over an hour. I have kept records of every call. this is causing me real financial hardship. the terms on the website differ from the agreement. the bank changed my account terms without notice.,36.04,Closed without relief,Yes,No
C3106366,2020-07-11,Credit card,Problem with a purchase shown on your statement,REG_Z,SUMMIT CARD SERVICES,mid,GA,Phone,Consent provided,I was transferred between 5 departments. the merchant billed me for goods that never arrived. the company says it is following its policy but will not show me the policy.,515.29,Untimely response,No,No
C3107268,2020-07-11,"Money transfer, virtual currency, or money service",Fraud or scam,REG_E,HARBOR CREDIT UNION,mid,NJ,Web,Consent provided,the transfer could not be recalled once it left my account. I have been given a different answer every time I call. the collector called me repeatedly in a single day. there are charges on my account I did not authorize. I contacted the company on 2020-05-15 and got nowhere.,102.34,Closed with explanation,Yes,Yes
C3108956,2020-07-11,Credit reporting,Problem with a company's investigation into an existing problem,FCRA,MERIDIAN NATIONAL BANK,large,MA,Web,Consent provided,the account was paid but reports as charged off. the company closed my case without telling me. I received a form letter saying the item was verified. I have sent documents twice and they say they never arrived. I filed this complaint because the company stopped responding.,,Closed with monetary relief,Yes,No
C3100239,2020-07-12,Credit card,Problem with a purchase shown on your statement,REG_Z,MERIDIAN NATIONAL BANK,large,IL,Web,Consent provided,this is causing me real financial hardship. the item went back but the credit never appeared. the terms of my account changed without notice. I asked for a supervisor and was refused. I disputed the billing error in writing.,174.93,Untimely response,No,Yes
C3100867,2020-07-12,Credit card,Problem with a purchase shown on your statement,REG_Z,MERIDIAN NATIONAL BANK,large,TX,Web,Consent provided,I was billed twice for the same purchase. nobody would escalate my case. the amount taken was more than I authorised. I was transferred between 5 departments. I have been given a different answer every time I call.,43.16,Closed with monetary relief,Yes,No
C3101533,2020-07-12,Checking or savings account,Problem with a lender or other company charging your account,REG_E,MERIDIAN NATIONAL BANK,large,MI,Web,Consent provided,the company says it is following its policy but will not show me the policy. I have disputed this 9 times now. I have kept records of every call. I need this corrected in writing. I asked for a supervisor and was refused.,206.85,Closed with non-monetary relief,Yes,Yes
C3106312,2020-07-12,Credit card,Problem with a purchase shown on your statement,REG_Z,ATLAS FINANCIAL GROUP,large,MI,Web,Consent provided,I have sent documents twice and they say they never arrived. the item went back but the credit never appeared. this debt belongs to somebody else with a similar name. I asked for a supervisor and was refused. this has been going on since 2020-06-14.,51.69,Closed with monetary relief,Yes,No
C3101403,2020-07-13,Checking or savings account,Unauthorized transactions or other transaction problem,REG_E,CROWN SAVINGS & TRUST,large,OH,Web,Consent provided,I asked for a supervisor and was refused. I want an explanation of how the amount was calculated. someone used my debit card without my permission.,735.26,Untimely response,No,Yes
C3102382,2020-07-13,Prepaid card,Trouble using your card,REG_E,ATLAS FINANCIAL GROUP,large,NJ,Web,Consent provided,I asked for a supervisor and was refused. nobody would escalate my case. the card was locked and nobody could tell me why. I am attaching the statement showing the entry. I want this resolved before it affects my credit.,98.0,Closed with monetary relief,Yes,No
C3103893,2020-07-13,Checking or savings account,Unauthorized transactions or other transaction problem,REG_E,MERIDIAN NATIONAL BANK,large,GA,Postal mail,Consent provided,the amount involved is $83.26. nobody would escalate my case. the representative put me on hold for over an hour. a company debited my account after I revoked authorisation. the bank said the transaction was authorized because a PIN was used. I was transferred between 9 departments.,83.26,Closed with monetary relief,Yes,No
C3104525,2020-07-13,Debt collection,Written notification about debt,FDCPA,PACIFIC UNION BANCORP,large,OH,Web,Consent provided,this debt belongs to somebody else with a similar name. the representative put me on hold for over an hour. the notice did not state the amount of the debt. I am attaching the statement showing the entry. I have called 6 times about this.,,Closed without relief,Yes,Yes
C3104625,2020-07-13,Checking or savings account,Problem caused by your funds being low,REG_E,VERITY DATA SOLUTIONS,small,AZ,Web,Consent provided,I have sent documents twice and they say they never arrived. the response I received was a form letter. I was charged several overdraft fees in one day. the company says it is following its policy but will not show me the policy. the bank reordered my transactions largest to smallest. I am asking the regulator to look at this.,132.67,Closed with monetary relief,Yes,No
C3105359,2020-07-13,Credit card,"Other features, terms, or problems",REG_Z,PACIFIC UNION BANCORP,large,OH,Web,Consent provided,my account has been affected since 2020-05-28. my remaining balance was never returned. the online portal does not show the case at all. a benefit I was promised at application does not exist.,1383.56,Closed with non-monetary relief,Yes,Yes
C3105627,2020-07-13,Checking or savings account,Closing an account,REG_E,PACIFIC UNION BANCORP,large,AZ,Web,Consent provided,the account was closed while a dispute was still open. an overdraft fee hit a transaction authorized on a positive balance. the online portal does not show the case at all. I filed this complaint because the company stopped responding. my remaining balance was never returned. I have disputed this 9 times now.,31.58,Closed with monetary relief,Yes,No
C3105970,2020-07-13,Credit card,Problem with a purchase shown on your statement,REG_Z,BLUE RIDGE COLLECTIONS,mid,PA,Web,Consent provided,I disputed the billing error in writing. the amount involved is $103.23. the promotional rate ended earlier than I was told. this has been going on since 2020-06-14. the merchant billed me for goods that never arrived.,103.23,Closed with monetary relief,Yes,No
C3102650,2020-07-14,Credit reporting,Problem with a company's investigation into an existing problem,FCRA,ATLAS FINANCIAL GROUP,large,NC,Phone,Consent provided,I filed this complaint because the company stopped responding. the furnisher verified the item without looking at my documents. I was transferred between 2 departments. the same error came back after it was deleted. there is a hard inquiry I never authorised. I have kept records of every call.,,Closed with non-monetary relief,Yes,No
C3104157,2020-07-14,Prepaid card,Trouble using your card,REG_E,MERIDIAN NATIONAL BANK,large,NJ,Web,Consent provided,the replacement card never arrived. the response I received was a form letter. I have called 4 times about this.,120.78,Closed with non-monetary relief,Yes,No
C3104450,2020-07-14,Credit reporting,Problem with a company's investigation into an existing problem,FCRA,MERIDIAN NATIONAL BANK,large,IL,Web,Consent provided,the representative put me on hold for over an hour. an account on my credit report is not mine. this is causing me real financial hardship.,,Closed with monetary relief,Yes,No
C3105302,2020-07-14,Credit card,Problem with a purchase shown on your statement,REG_Z,MERIDIAN NATIONAL BANK,large,WA,Web,Consent provided,I disputed the billing error in writing. the representative put me on hold for over an hour. I asked for a supervisor and was refused. I have been given a different answer every time I call. a benefit I was promised at application does not exist.,68.92,Closed with monetary relief,Yes,No
C3105364,2020-07-14,Checking or savings account,Managing an account,REG_E,PACIFIC UNION BANCORP,large,AZ,Web,Consent provided,my direct deposit went to the wrong account. the response I received was a form letter. I am attaching the statement showing the entry. my remaining balance was never returned. I need this corrected in writing. I could not get into online banking for days.,40.65,Closed with explanation,Yes,No
C3101397,2020-07-15,Credit card,Problem with a purchase shown on your statement,REG_Z,SUMMIT CARD SERVICES,mid,OH,Web,Consent provided,I need this corrected in writing. I have called 2 times about this. the merchant billed me for goods that never arrived. the item went back but the credit never appeared. the terms of my account changed without notice.,70.51,Closed with explanation,Yes,Yes
C3102326,2020-07-15,Checking or savings account,Closing an account,REG_E,BLUE RIDGE COLLECTIONS,mid,NC,Web,Consent provided,I am asking the regulator to look at this. the account was closed while a dispute was still open. I have kept records of every call. the company closed my case without telling me. the bank changed my account terms without notice. the bank closed my account and would not say why. the amount involved is $33.42.,33.42,Closed with explanation,Yes,No
C3104941,2020-07-15,Checking or savings account,Managing an account,REG_E,NORTHSTAR RECOVERY LLC,small,IL,Web,Consent provided,my direct deposit went to the wrong account. the company acknowledged the problem on the phone but not in writing. this is causing me real financial hardship. I was told someone would call back and nobody did.,244.31,Closed with monetary relief,Yes,No
