application_id,month,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,credit_risk_score,email_is_free,phone_home_valid,phone_mobile_valid,has_other_cards,proposed_credit_limit,foreign_request,session_length_in_minutes,device_distinct_emails_8w,device_fraud_count,keep_alive_session,bank_months_count,fraud_bool
A700032,0,0.57,0.398,48,9,20,0.069,-1.0,1537,1005.8,4025.5,3711.9,1978,17,157,1,0,1,1,2000,0,5.36,1,0,1,22,0
A700033,0,0.62,0.654,96,36,40,7.893,-1.0,4120,3118.9,16124.9,13096.0,2172,17,193,0,0,1,0,1500,0,5.9,9,0,0,31,0
A700034,0,0.77,0.124,96,120,30,1.522,8.54,5041,7064.1,21215.3,19145.4,1121,26,18,0,0,0,0,200,0,4.88,1,0,0,8,0
A700035,0,0.47,0.177,48,18,30,4.125,16.24,479,6505.4,33571.6,23966.2,1009,25,304,1,1,1,0,500,0,6.52,1,0,1,8,0
A700036,0,0.28,0.253,6,36,50,7.153,10.86,1448,7103.4,34033.2,39501.5,1929,30,317,0,0,1,0,2000,0,7.74,1,0,0,8,0
A700037,0,0.53,0.822,96,18,60,2.596,9.95,2719,7215.7,22246.8,29357.7,1438,16,119,1,0,1,1,500,0,3.04,1,0,0,3,0
A700038,0,0.71,0.73,-1,120,10,0.85,26.27,1540,5239.8,23173.4,31181.3,1348,39,200,0,0,1,0,1000,0,9.67,1,0,1,22,0
A700039,0,0.43,0.027,48,18,30,0.637,4.86,4449,2810.8,12387.1,12625.7,1703,20,221,1,0,1,0,2000,0,9.52,1,0,0,14,0
A700040,0,0.41,0.751,96,3,30,4.126,16.79,4651,7514.3,41208.9,42769.7,371,18,200,0,1,1,1,1500,0,12.49,1,0,1,22,0
A700041,0,0.75,0.621,6,36,60,3.002,21.95,3990,4093.9,13605.3,17490.1,2280,23,188,0,1,0,0,1000,0,7.37,1,0,1,3,0
A700042,0,0.45,0.433,96,9,50,0.862,-1.0,2850,3123.2,14072.1,14836.7,423,17,97,0,0,0,0,200,0,0.1,1,1,1,31,0
A700043,0,0.43,0.255,6,72,70,0.798,-1.0,1924,2703.7,14173.3,14740.7,631,5,202,0,1,0,1,200,0,10.84,1,0,1,3,0
A700044,0,0.57,0.519,-1,3,30,0.023,17.37,65,2091.4,9820.7,11372.1,887,20,185,0,0,1,0,200,0,6.4,1,0,0,8,0
A700045,0,0.63,0.485,24,-1,30,1.636,16.3,1640,0.0,0.0,0.0,1820,34,107,1,1,0,0,2000,0,9.32,1,0,1,31,0
A700046,0,0.48,0.232,48,-1,50,3.036,1.74,3124,6638.5,32364.9,35157.4,1368,39,206,0,1,1,0,1000,0,7.8,2,0,1,22,0
A700047,0,0.3,0.799,12,72,60,2.007,9.6,525,3704.4,13508.4,17610.6,872,14,87,0,0,1,1,1500,0,8.49,1,0,0,22,0
A700048,0,0.67,0.467,24,9,20,5.422,1.22,4767,0.0,0.0,0.0,518,29,176,1,0,1,0,500,0,8.1,1,0,1,8,0
A700049,0,0.1,0.012,96,72,70,6.596,23.39,2844,3073.8,10347.7,8893.2,2226,23,176,1,1,1,0,2000,0,2.0,1,0,1,22,0
A700050,0,0.72,0.053,48,18,30,0.999,1.47,4405,6217.6,33375.9,25763.2,899,12,177,1,0,1,1,200,0,2.54,1,0,0,3,0
A700051,0,0.8,0.014,-1,9,30,0.555,2.12,5214,9467.7,30687.6,42588.1,1719,14,240,1,0,1,0,500,0,2.3,1,0,1,14,0
A700052,0,0.85,0.4,48,9,70,0.532,-1.0,2900,4271.4,14052.0,15870.4,990,16,227,1,1,1,1,500,0,5.21,1,0,0,8,0
A700053,0,0.72,0.118,-1,3,30,7.274,4.34,3706,4720.5,25335.6,18195.3,1236,21,188,0,1,1,1,2000,0,7.19,1,0,0,-1,0
A700054,0,0.92,0.745,12,3,20,0.099,-1.0,1608,0.0,0.0,0.0,1752,8,169,1,0,1,0,500,0,7.88,1,0,1,8,0
A700055,0,0.47,0.205,96,-1,50,2.776,22.59,2593,4767.9,14478.6,14119.0,1463,7,90,0,0,1,0,1500,0,0.28,1,0,1,14,0
A700056,0,0.25,0.502,24,9,30,1.781,31.84,5147,3482.4,14469.2,17375.0,2363,10,171,0,1,1,0,500,0,2.53,2,0,1,3,0
A700057,0,0.58,0.954,48,3,30,0.853,-0.4,2268,5028.9,20620.7,19967.8,1177,1,203,0,0,0,0,200,0,6.28,1,0,1,-1,0
A700058,0,0.77,0.793,24,120,30,0.449,4.89,1916,5343.1,23992.4,26845.7,2125,4,197,0,0,1,0,1000,0,5.06,1,0,1,3,0
A700059,0,0.62,0.107,6,-1,40,0.934,13.29,2353,670.8,2923.0,2673.4,1927,33,163,0,0,1,0,1000,0,10.0,1,0,0,31,0
A700060,0,0.47,0.812,48,18,70,0.489,3.57,1002,6265.7,25639.2,24964.7,2288,17,43,1,0,1,1,1000,0,5.09,1,0,1,31,0
A700061,0,0.55,0.841,12,36,30,4.869,-1.0,2117,8781.6,42975.3,52816.8,226,28,114,0,1,1,0,200,1,1.58,1,0,0,-1,0
A700062,0,0.67,0.355,96,18,20,0.863,17.15,1141,4615.7,15193.1,17080.7,799,20,111,1,1,1,0,200,0,8.76,5,0,1,14,0
A700063,0,0.3,0.791,24,9,40,0.248,-1.0,809,6290.2,22341.0,23823.4,1934,29,227,1,1,1,0,2000,0,8.6,1,0,1,14,0
A700064,0,0.7,0.367,24,120,70,3.73,22.27,3874,1568.9,6245.1,5947.9,442,27,137,0,1,1,0,200,0,8.92,1,0,1,-1,0
A700065,0,0.73,0.473,48,-1,20,3.507,6.54,4668,8973.4,40605.8,41650.0,548,3,214,1,1,0,1,1000,0,0.1,2,0,0,14,0
A700066,0,0.77,0.215,24,72,30,6.831,13.66,1514,4703.1,15256.9,21340.9,971,5,65,1,1,1,0,200,0,4.59,1,0,1,31,0
A700067,0,0.47,0.779,24,120,40,0.4,42.42,1288,2744.5,12310.8,9300.0,2079,11,207,0,0,1,0,500,0,0.1,1,0,0,31,0
A700068,0,0.06,0.337,6,36,10,2.454,28.6,1093,10687.8,52348.1,71080.5,1563,30,199,0,0,1,1,1000,0,6.3,1,0,1,31,0
A700069,0,0.07,0.507,24,3,20,5.192,8.85,1863,7213.6,37648.8,45166.1,1422,23,151,1,1,1,0,2000,0,8.24,2,0,1,31,0
A700070,0,0.25,0.96,48,72,50,0.975,16.43,2316,3117.8,12517.2,10285.7,2380,18,201,0,1,1,1,200,0,8.51,1,0,1,14,0
A700071,0,0.96,0.489,96,120,10,0.165,28.77,2669,7470.3,22835.7,21898.7,357,17,143,0,1,1,0,2000,0,3.64,1,0,0,3,0
A700072,0,0.41,0.772,6,9,10,0.302,8.73,4544,5856.4,18661.9,15715.6,981,18,194,0,0,1,0,500,0,2.95,1,0,1,31,0
A700073,0,0.85,0.539,96,18,30,0.203,16.42,763,5622.3,27527.8,32866.2,599,14,146,1,0,1,0,200,0,0.1,2,0,1,8,0
A700074,0,0.99,0.599,48,-1,10,9.801,16.48,4425,0.0,0.0,0.0,772,7,225,1,0,1,1,500,0,7.58,1,0,0,14,0
A700075,0,0.19,0.314,6,120,20,0.262,16.93,3357,4402.3,22335.2,17941.2,316,3,90,1,1,1,0,2000,0,9.19,1,0,1,14,0
A700076,0,0.35,0.288,48,18,10,0.079,1.39,4730,1159.5,3512.5,4379.9,1970,36,193,1,1,1,0,1500,0,8.91,1,0,1,8,0
A700077,0,0.68,0.136,12,120,20,1.312,23.61,2256,2980.7,11592.0,13834.5,337,6,236,0,0,1,1,1500,0,9.6,1,0,1,22,0
A700078,0,0.63,0.618,-1,18,50,2.592,8.94,1633,0.0,0.0,0.0,2037,30,122,1,0,1,0,1000,0,8.23,3,0,0,31,0
A700079,0,0.88,0.359,48,36,60,0.628,1.25,4582,5562.0,23674.0,19983.6,1821,7,165,0,1,1,0,200,0,4.77,1,0,1,-1,0
A700080,0,0.49,0.43,96,-1,60,1.523,8.35,1353,13538.2,54217.2,60955.7,1802,38,144,1,1,1,0,1500,0,7.53,1,0,1,8,0
A700081,0,0.69,0.502,96,18,60,2.285,21.81,697,5777.6,27761.8,30966.1,174,38,228,0,0,1,0,500,0,13.46,3,0,1,31,0
A700082,0,0.66,0.142,96,18,30,0.109,14.32,1766,7227.0,33089.6,39484.1,194,28,198,1,0,1,0,200,0,5.52,1,0,1,22,0
A700083,0,0.45,0.867,12,36,50,0.434,24.66,5288,2643.6,13195.3,18470.2,459,27,173,0,1,1,0,1500,0,4.63,1,2,1,31,0
A700084,0,0.64,0.598,48,120,40,2.254,-1.0,4254,7229.0,29778.8,32135.5,1707,21,175,1,1,1,0,1000,0,7.4,1,0,1,22,0
A700085,0,0.91,0.426,48,36,40,1.59,26.94,2857,0.0,0.0,0.0,1248,27,208,1,1,1,0,200,0,3.17,1,0,0,3,0
A700086,0,0.6,0.098,48,36,60,0.534,-1.0,378,774.3,3005.4,2499.8,1711,33,241,0,1,1,0,200,0,10.99,1,0,0,22,0
A700087,0,0.54,0.166,12,120,30,3.596,-1.0,4425,6795.1,25308.6,33134.2,23,40,313,0,1,1,0,1000,0,5.4,3,0,1,3,0
A700088,0,0.49,0.05,48,9,20,1.927,7.71,5027,2824.4,9741.1,10353.2,1225,17,192,1,1,1,0,500,0,4.52,2,0,0,14,0
A700089,0,0.72,0.966,96,9,20,4.943,23.49,1608,71.1,233.1,226.9,1839,40,100,1,0,1,0,500,0,4.42,1,0,1,8,0
A700090,0,0.53,0.619,6,18,30,9.462,-1.0,3257,4124.8,20631.2,24629.0,822,10,187,1,1,1,0,1000,0,0.41,1,1,1,-1,0
A700091,0,0.53,0.611,-1,120,20,0.533,2.55,77,3659.5,17918.3,15730.1,589,10,217,1,1,1,1,2000,0,9.19,3,0,1,31,0
A700092,0,0.51,0.137,96,72,60,4.286,23.97,4475,2500.2,10789.3,9498.1,1870,32,100,1,0,1,0,1500,0,9.86,1,0,1,8,0
A700093,0,0.44,0.011,12,72,30,4.979,23.26,1966,0.0,0.0,0.0,598,24,103,0,1,1,1,200,0,14.22,1,0,1,31,0
A700094,0,0.39,0.925,24,36,30,6.35,20.75,75,8126.5,41304.3,46123.0,1421,1,164,0,1,1,0,2000,0,3.8,1,0,1,3,0
A700095,0,0.77,0.324,48,72,20,0.896,41.82,2988,9145.3,29502.3,26823.5,1229,22,316,1,1,1,0,1500,0,0.1,2,0,1,31,0
A700096,0,0.99,0.237,48,9,10,4.53,12.0,5224,4586.6,13797.8,17923.4,571,37,114,0,0,1,0,200,0,2.87,1,0,1,8,0
A700097,0,0.86,0.745,96,9,40,3.875,29.17,1738,1920.7,9971.4,10502.5,2285,22,138,1,0,1,1,1000,0,6.38,1,0,0,8,0
A700098,0,0.48,0.145,24,18,70,7.04,9.26,2745,2425.0,8486.2,11050.6,1374,22,242,0,1,1,0,1000,0,4.28,1,0,0,-1,0
A700099,0,0.64,0.421,6,9,10,0.281,-1.0,3121,8387.2,30619.3,32011.1,734,38,154,1,1,1,1,1000,0,5.77,1,0,0,-1,0
A700100,0,0.75,0.802,48,3,30,5.392,23.26,2799,4737.2,24555.7,30086.7,1192,3,169,0,0,1,0,1000,0,8.42,1,0,1,22,0
A700101,0,0.49,0.527,-1,18,10,1.071,27.42,1795,8125.7,35235.0,25806.2,1439,21,188,1,0,1,0,500,0,7.76,1,0,0,31,0
A700102,0,0.58,0.659,48,9,60,3.086,1.55,1974,7428.6,30116.9,39492.6,874,30,56,1,0,1,0,200,0,8.18,1,1,1,-1,0
A700103,0,0.72,0.826,96,-1,40,2.333,2.12,2806,5045.7,26595.0,25430.4,2151,0,122,0,0,1,0,200,0,5.5,1,0,1,3,0
A700104,0,0.6,0.314,12,3,40,6.047,1.7,158,11683.6,37323.1,37949.0,2196,39,107,1,0,1,0,200,0,5.12,1,0,1,-1,0
A700105,0,0.66,0.622,24,3,60,0.75,2.98,1212,5040.2,16944.6,19100.7,2273,30,202,1,1,1,0,1000,0,2.31,1,0,1,-1,1
A700106,0,0.47,0.566,-1,3,60,5.825,19.21,239,4797.7,23243.1,18202.5,441,38,229,0,1,1,0,500,0,0.1,1,0,1,14,0
A700107,0,0.52,0.439,48,-1,70,0.576,5.65,1927,9376.5,49358.3,52031.7,1990,7,228,0,1,1,0,1500,1,7.83,1,0,0,8,0
A700108,0,0.57,0.989,12,3,30,0.105,-1.0,1967,13054.4,41219.8,33649.8,1682,27,149,0,0,1,0,500,0,1.86,1,0,1,31,0
A700109,0,0.09,0.353,6,36,70,4.341,19.26,4052,1463.8,6075.5,4893.1,468,8,101,1,1,1,0,1500,0,5.34,1,0,1,31,0
A700110,0,0.64,0.735,48,3,30,1.106,-1.0,1472,4903.2,24463.5,26894.1,771,35,194,0,1,1,0,200,0,8.0,1,0,1,22,0
A700111,0,0.89,0.067,24,72,10,1.313,9.66,2134,7343.3,29165.0,40456.8,728,23,274,0,0,1,0,1500,0,6.3,1,0,0,31,0
A700112,0,0.66,0.362,96,9,20,3.792,9.13,4799,4929.2,23788.9,26898.0,590,6,230,0,0,1,0,1500,0,5.43,1,0,1,14,0
A700113,0,0.36,0.466,24,120,40,5.969,-1.0,1785,4606.7,24863.2,22217.2,187,18,35,0,0,1,0,1000,0,5.87,3,0,0,22,0
A700114,0,0.29,0.233,24,9,30,3.161,12.26,4898,2737.3,14955.2,19437.8,1516,20,107,1,0,1,0,200,0,9.04,9,0,0,-1,0
A700115,0,0.74,0.363,24,3,30,0.38,21.03,263,8016.7,32688.2,32997.8,1687,16,170,0,0,1,0,1000,0,8.06,1,0,0,8,0
A700116,0,0.45,0.579,24,3,40,1.946,4.44,4216,6712.4,26387.8,19633.6,2034,12,200,0,0,1,1,1500,0,5.42,1,0,1,14,0
A700117,0,0.72,0.92,12,18,60,1.605,16.34,4077,2467.2,9930.4,8542.9,1777,35,124,1,0,1,1,1000,0,9.05,1,0,0,31,0
A700118,0,0.35,0.852,24,3,30,0.825,12.6,5269,2105.0,9527.6,7509.9,601,21,260,1,0,1,0,200,0,2.44,1,0,1,3,0
A700119,0,0.54,0.582,24,-1,30,2.421,12.99,236,3394.6,11123.5,15081.7,1634,26,235,0,0,1,0,1000,0,3.48,2,0,1,3,0
A700120,0,0.57,0.669,6,9,30,2.575,-1.0,4609,1486.5,6211.1,4845.2,2052,34,89,1,1,1,0,500,0,6.61,1,0,1,-1,0
A700121,0,0.45,0.111,96,9,20,0.285,6.04,4590,9505.4,44586.1,60046.0,2280,27,146,0,1,1,0,1500,0,0.98,1,2,1,31,0
A700122,0,0.58,0.922,6,-1,60,14.971,-1.0,3644,5184.0,24430.4,29159.7,2348,13,226,0,0,1,0,500,0,12.69,1,0,0,22,0
A700123,0,0.32,0.588,-1,120,50,2.307,-1.0,4071,1435.2,5665.1,4841.8,522,33,196,1,0,1,1,200,0,6.14,1,0,0,-1,0
A700124,0,0.23,0.939,12,3,60,0.698,7.6,4762,2735.8,10132.9,13859.1,1661,13,117,0,0,1,1,200,0,0.23,1,0,0,22,0
A700125,0,0.64,0.47,96,72,70,1.331,13.22,1153,4414.7,21235.5,26241.9,2015,4,262,1,1,1,0,1000,0,10.91,1,0,1,31,0
A700126,0,0.57,0.169,6,36,20,2.754,39.37,220,9196.5,45647.5,41310.3,2145,8,160,0,0,1,0,1500,0,7.12,1,0,0,3,0
A700127,0,0.69,0.852,48,3,30,0.169,-1.0,2936,12201.1,50338.3,62902.2,2388,28,211,1,0,1,1,1000,0,8.98,1,0,0,22,0
A700128,0,0.74,0.579,6,9,30,2.72,9.08,3596,6053.9,20846.4,18101.5,590,8,215,0,1,1,1,1500,0,0.1,9,0,1,3,0
A700129,0,0.4,0.364,6,120,30,0.102,11.51,4588,8699.8,30166.7,23922.8,279,18,-14,0,1,1,0,200,0,0.84,1,1,1,8,0
A700130,0,0.29,0.362,6,18,50,1.537,13.22,5288,7096.4,32779.9,23821.9,1812,34,221,0,1,1,0,2000,0,6.66,3,0,0,31,0
A700131,0,0.79,0.99,96,-1,70,2.951,3.54,2877,2120.4,10734.5,12544.6,916,17,96,1,0,1,1,500,0,6.22,1,0,0,14,0
A700132,0,0.83,0.049,48,3,60,4.715,16.41,2640,4723.5,19900.6,25958.3,825,32,182,0,1,1,1,2000,0,8.1,1,0,1,31,0
A700133,0,0.96,0.632,6,18,50,0.174,6.58,5335,7423.3,23854.3,28999.1,2309,21,242,1,0,1,0,2000,0,4.79,1,0,1,3,0
A700134,0,0.48,0.495,-1,3,10,2.124,14.57,1364,7195.7,39416.3,54232.3,1802,30,120,0,1,1,0,200,0,2.07,1,0,1,31,0
A700135,0,0.64,0.119,48,72,50,0.103,24.56,4147,0.0,0.0,0.0,448,25,163,1,0,1,0,500,0,11.1,1,0,1,-1,0
A700136,0,0.61,0.537,12,120,70,6.915,-1.0,2476,11293.9,60618.2,79190.6,1902,35,126,1,0,1,0,500,0,9.74,1,0,0,14,0
A700137,0,0.59,0.307,12,120,10,0.268,25.54,1798,3948.7,17049.5,13006.3,2065,19,121,1,0,1,1,2000,0,6.03,2,0,1,31,0
A700138,0,0.99,0.594,96,36,30,0.146,9.93,3938,7399.0,37325.3,41333.0,1930,0,167,0,1,1,1,200,0,0.97,1,0,0,14,0
A700139,0,0.73,0.232,24,3,30,1.858,4.94,1730,0.0,0.0,0.0,1037,31,234,1,0,1,0,1500,0,7.79,1,0,1,-1,0
A700140,0,0.38,0.773,24,18,30,0.308,-1.0,3103,5483.4,19133.4,25890.5,910,14,202,0,0,1,0,2000,0,4.19,1,0,1,-1,0
A700141,0,0.54,0.721,96,3,40,12.992,11.26,1060,3097.9,9327.4,12545.1,356,18,179,1,0,0,0,2000,0,2.19,3,0,0,22,0
A700142,0,0.45,0.74,24,120,30,0.447,0.67,1137,5545.2,26134.8,21006.3,2160,16,54,0,1,1,1,1000,0,7.12,9,0,1,-1,0
A700143,0,0.31,0.878,12,72,40,1.379,27.21,736,376.6,1898.1,2476.4,14,31,105,1,0,1,0,1500,0,6.11,1,0,0,-1,0
A700144,0,0.79,0.105,96,36,40,2.874,15.41,591,6704.6,24981.1,18109.3,441,22,151,1,1,1,0,500,0,2.28,1,0,0,31,0
A700145,0,0.37,0.609,48,9,30,0.864,-1.0,2474,2326.9,7368.3,8704.3,281,18,148,1,0,1,1,2000,0,7.94,1,0,0,22,0
A700146,0,0.75,0.215,24,18,40,2.898,40.17,3690,5514.4,23502.8,23835.1,1757,15,162,0,1,1,0,1000,0,10.99,1,0,0,31,0
A700147,0,0.65,0.935,96,72,40,5.392,14.04,1341,5063.0,16714.1,19977.2,1312,22,194,1,0,1,1,500,0,7.35,3,0,1,22,0
A700148,0,0.58,0.409,48,18,30,1.869,16.59,740,6382.7,23562.1,25135.7,1128,19,160,0,0,1,1,1500,0,12.1,1,0,1,3,0
A700149,0,0.47,0.988,-1,18,30,7.828,6.98,789,4214.9,13397.7,9608.8,4,24,151,0,1,1,0,500,0,7.85,1,0,0,-1,0
A700150,0,0.25,0.785,96,3,50,2.023,27.38,4646,0.0,0.0,0.0,1183,5,103,1,0,1,0,200,0,7.08,1,0,1,-1,0
A700151,0,0.64,0.597,96,36,60,0.57,10.63,3930,4278.3,22025.9,15670.7,557,26,-23,0,0,1,0,1000,0,0.99,3,0,0,31,0
A700152,0,0.22,0.8,6,18,20,0.934,10.88,4274,3052.1,15805.9,12437.2,608,34,106,0,1,1,0,200,1,6.0,9,0,1,22,0
A700153,0,0.4,0.249,96,120,40,0.223,5.15,5095,4562.1,18190.1,15919.0,2050,0,185,0,0,1,0,200,0,3.95,1,0,0,14,0
A700154,0,0.16,0.964,6,120,30,1.865,8.82,331,6518.8,23383.3,23620.1,1379,16,130,0,0,1,0,2000,0,3.9,1,0,1,22,0
A700155,0,0.51,0.794,48,18,10,0.206,7.05,3209,4820.0,25602.1,26234.1,1569,25,120,0,0,1,0,200,0,5.78,1,0,0,31,0
A700156,0,0.35,0.088,12,72,20,2.463,5.15,1537,2348.2,7461.0,9902.3,159,22,214,0,0,1,1,500,0,3.95,1,0,1,31,0
A700157,0,0.44,0.521,12,-1,20,3.131,10.0,3312,3261.9,10127.5,13374.9,1786,25,149,1,1,1,0,1000,0,10.76,1,0,1,14,0
A700158,0,0.61,0.075,48,18,30,7.997,3.66,4265,7133.9,21482.2,24370.0,1572,36,180,1,1,1,0,1000,0,2.87,1,0,1,-1,0
A700159,0,0.6,0.447,96,-1,30,1.055,22.18,4117,2373.5,10818.1,8382.1,736,30,104,0,0,1,0,1000,0,0.1,9,0,0,22,0
A700160,0,0.93,0.46,-1,-1,60,2.327,10.05,992,1513.0,7219.9,8025.4,536,5,89,1,0,0,0,200,0,12.48,1,0,1,22,0
A700161,0,0.31,0.723,6,-1,30,0.523,1.39,1371,8507.9,33527.8,32294.4,1798,30,195,0,0,1,0,500,0,1.58,1,0,0,-1,0
A700162,0,0.62,0.563,-1,-1,60,2.536,7.16,1156,4046.9,13499.1,16647.7,555,0,230,0,0,1,0,2000,0,4.09,1,0,1,-1,0
A700163,0,0.95,0.447,24,-1,30,3.325,-1.0,4551,4199.8,13951.0,17578.5,2329,38,11,0,0,1,0,500,0,17.02,1,0,1,3,0
A700164,0,0.59,0.143,-1,18,20,1.02,18.64,4499,4432.5,21740.7,24962.1,1716,35,178,0,0,0,1,1500,0,7.55,1,0,1,14,0
A700165,0,0.81,0.783,48,3,40,0.078,-1.0,4774,653.9,2959.5,2559.1,427,17,135,1,1,1,0,200,0,2.43,1,0,1,22,0
A700166,0,0.64,0.37,48,-1,40,2.602,6.8,4190,2142.7,10201.1,13972.5,1690,27,250,0,1,1,0,1000,0,5.46,2,0,1,22,0
A700167,0,0.98,0.947,24,9,70,0.324,-1.0,1229,7417.7,31287.4,31554.2,832,24,219,1,0,0,0,200,0,3.72,1,0,1,-1,0
A700168,0,0.44,0.287,96,3,40,0.785,9.28,4377,6217.9,22717.3,20422.0,1362,26,196,1,1,1,0,1000,0,7.45,1,0,0,14,0
A700169,0,0.99,0.916,96,18,40,8.01,-1.0,5187,6626.7,25841.9,30193.6,78,17,261,0,0,1,0,1000,0,4.83,1,1,1,3,0
